id,user_id,sex,date,moral1,moral2,moral3,moral4,moral5,moral6,moral7,sexual1,sexual2,sexual3,sexual4,sexual5,sexual6,sexual7,pathogen1,pathogen2,pathogen3,pathogen4,pathogen5,pathogen6,pathogen7
4296,8378,male,2009-08-23 06:34:31,1,3,2,4,5,4,4,0,0,0,0,0,0,0,5,4,3,1,4,2,3
26649,8742,male,2014-01-26 00:03:21,,,,,,,,,,,,,,,,,,,,,
1763,9881,female,2008-11-02 05:50:08,3,5,4,5,3,4,3,1,3,3,5,5,3,3,4,5,3,5,4,5,5
12075,10054,male,2011-11-19 09:32:53,1,2,3,2,2,3,4,3,0,0,2,0,3,5,4,4,3,4,4,5,2
27643,11090,female,2014-02-27 10:45:57,3,3,3,3,3,0,3,2,0,6,6,2,6,3,3,2,5,0,5,5,6
1772,11381,male,2008-11-03 05:39:30,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,5,1,0,4,1,4
11322,11395,female,2011-10-31 19:16:12,1,5,4,4,5,3,4,0,0,0,5,0,5,1,4,2,2,1,3,1,1
10307,12820,male,2011-10-02 20:28:38,4,4,2,4,4,4,4,0,0,0,2,0,1,4,6,3,2,5,3,2,3
31364,16498,female,2014-10-08 12:50:00,,3,,,,,3,,3,,,3,,3,3,,3,3,3,,3
15853,18914,male,2012-05-16 00:03:55,4,6,1,6,5,6,3,1,0,,1,0,3,0,1,1,1,1,1,2,1
2400,24371,female,2008-12-03 21:58:21,5,6,4,3,6,5,2,0,0,1,4,2,5,6,5,0,3,1,5,0,4
2752,33329,female,2009-01-16 08:07:10,3,6,4,4,6,5,3,4,1,0,3,1,3,1,3,3,2,5,4,2,3
3594,34310,female,2009-05-06 11:21:52,2,3,2,5,4,2,2,3,0,3,6,3,6,6,4,3,4,4,2,1,1
26188,34951,female,2014-01-04 14:27:12,6,6,6,6,6,6,6,1,0,3,4,6,3,6,6,6,6,6,6,6,6
3783,34984,female,2009-05-26 05:50:16,4,5,4,6,4,5,4,0,0,1,0,1,3,1,6,6,4,4,6,2,5
2353,37579,male,2008-12-01 21:36:31,6,6,5,6,6,6,5,5,0,0,3,6,6,6,6,4,4,5,6,6,4
6302,39318,female,2010-05-20 06:40:30,2,4,1,4,5,6,0,1,0,0,1,0,0,1,3,2,3,2,3,2,4
1657,42857,female,2008-10-28 02:50:33,4,5,2,4,3,3,2,2,0,1,1,1,1,4,3,5,2,2,6,4,3
5429,43029,female,2010-01-02 23:41:38,1,1,1,3,6,4,2,2,0,1,4,6,6,6,4,6,6,6,6,6,4
803,43791,male,2008-08-31 08:44:03,4,4,4,5,5,4,4,0,0,0,3,5,1,0,4,5,1,2,5,1,3
710,44759,male,2008-08-26 19:50:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,1
14770,47308,female,2012-03-19 22:57:13,5,6,5,6,4,5,6,1,1,1,1,4,6,1,5,2,2,6,3,2,5
7107,47606,female,2011-02-08 04:30:09,3,4,,5,4,4,5,,0,0,3,1,6,0,3,3,2,2,2,1,4
62,47938,female,2008-07-21 21:40:44,4,5,3,5,2,5,2,1,4,0,1,1,5,4,5,3,1,1,4,4,4
39342,48303,male,2017-05-22 18:12:00,4,5,4,4,6,4,5,2,1,4,1,1,3,1,5,5,4,4,4,4,5
1098,48800,female,2008-09-30 23:49:58,4,5,1,4,2,6,4,1,1,1,4,4,6,0,6,2,2,6,6,5,1
4556,48861,female,2009-10-13 19:27:21,5,5,4,5,4,4,4,0,0,0,1,2,6,0,5,2,4,3,4,4,5
11833,49958,male,2011-11-12 22:52:40,6,6,2,3,6,0,0,4,0,0,0,3,0,0,4,3,2,0,1,3,1
988,51564,female,2008-09-20 23:34:10,3,6,2,6,5,5,2,3,0,0,5,1,5,0,4,2,4,3,6,5,4
38222,51771,female,2016-08-04 21:26:45,2,6,4,6,6,5,4,0,0,0,6,0,6,0,5,2,5,5,5,2,3
10558,52689,male,2011-10-07 00:54:47,3,3,2,3,5,2,2,0,1,0,1,0,0,2,4,1,3,2,2,3,4
23823,53008,male,2013-09-25 19:32:35,4,5,5,4,5,5,5,1,0,0,3,0,0,3,6,5,4,2,5,5,6
3455,53597,male,2009-05-01 20:19:06,3,5,3,4,6,2,5,0,1,0,2,3,1,1,5,4,4,3,3,4,5
2748,53866,female,2009-01-16 01:36:20,3,5,6,3,6,3,5,5,0,0,6,6,5,0,6,4,5,1,6,1,1
20306,56604,male,2013-01-17 10:11:36,0,1,0,5,3,1,1,0,0,0,0,2,0,0,1,1,2,1,1,2,2
4034,56802,female,2009-07-17 19:49:36,3,5,2,5,2,4,4,0,0,1,5,4,6,2,3,6,5,3,5,1,6
6991,58558,female,2011-01-06 15:05:08,5,6,6,5,6,6,6,4,3,6,3,6,6,6,5,3,3,2,3,2,3
4221,59050,male,2009-08-11 17:30:04,4,3,4,5,4,2,4,4,0,0,2,4,5,0,5,3,3,2,4,5,6
2229,59389,female,2008-11-24 01:55:03,4,5,4,4,5,3,4,1,0,0,4,2,5,0,5,1,3,4,5,5,2
20632,62468,male,2013-02-05 21:01:15,4,4,4,5,4,5,4,3,2,1,3,1,3,1,4,4,4,5,4,5,4
33172,63298,male,2014-12-12 18:22:44,3,5,4,6,5,4,4,0,0,1,0,0,1,3,5,2,1,1,1,2,4
26311,65329,male,2014-01-10 23:19:48,3,3,3,4,3,5,3,1,5,5,2,2,0,5,4,1,0,3,1,3,1
3637,65473,female,2009-05-11 04:49:07,2,3,4,5,4,4,3,1,0,0,4,0,3,1,5,6,2,6,5,6,1
3385,65697,female,2009-04-17 07:09:12,5,2,5,1,0,6,0,5,1,3,2,2,5,5,2,1,3,1,1,3,5
3641,66134,male,2009-05-11 07:03:14,3,5,6,6,6,3,5,1,0,0,0,0,1,1,4,3,3,1,4,4,5
2673,67077,female,2009-01-05 07:11:38,6,6,6,6,6,6,6,6,3,5,5,6,4,3,,4,0,5,4,3,6
3328,67108,male,2009-04-12 03:13:48,3,4,2,4,2,2,4,0,0,0,0,0,2,2,3,2,3,2,3,4,4
256,67479,female,2008-08-12 18:18:25,1,6,2,6,6,,2,0,0,0,0,0,4,0,5,2,5,1,4,3,6
274,67835,female,2008-08-13 22:39:12,3,4,3,4,6,2,3,3,0,0,4,1,6,4,6,3,3,4,4,4,5
3416,68437,female,2009-04-24 03:51:46,5,5,5,5,5,4,4,2,1,6,5,6,3,6,4,2,2,2,4,4,3
1765,69027,female,2008-11-02 10:32:30,4,5,5,5,5,4,5,4,5,4,2,4,6,5,3,5,4,2,2,4,5
24679,69268,female,2013-10-20 17:03:41,4,6,5,5,5,4,5,3,0,1,2,2,5,0,5,2,2,2,1,3,2
32986,70172,male,2014-12-03 22:52:52,5,6,4,6,3,6,6,3,0,0,0,0,2,0,5,3,3,4,4,4,5
28153,70272,male,2014-03-23 02:17:28,4,6,4,6,5,5,4,4,1,3,5,6,1,6,6,6,1,6,6,5,6
1799,70672,female,2008-11-04 05:49:32,3,3,4,5,3,3,5,5,2,0,2,4,5,1,5,3,4,4,6,6,4
2550,71168,female,2008-12-16 04:30:12,1,3,2,2,4,3,1,3,6,1,5,5,5,6,1,2,1,1,2,3,1
8183,71186,male,2011-09-08 18:36:00,6,6,,5,5,6,5,3,5,1,3,3,2,3,5,2,3,5,4,4,5
7122,71437,male,2011-02-10 16:10:22,0,1,0,3,1,0,1,0,0,0,0,0,1,4,4,1,1,2,4,2,2
6732,71955,female,2010-10-15 11:18:41,2,5,3,6,3,2,5,4,3,3,6,6,6,5,4,2,6,5,6,6,3
2590,72270,female,2008-12-23 03:45:06,5,5,5,5,5,6,5,2,0,4,0,6,4,2,1,2,1,2,2,1,3
37268,72289,female,2016-01-30 11:49:33,3,5,4,5,6,5,3,3,1,1,6,5,6,5,4,3,3,6,4,2,3
152,72482,male,2008-07-30 14:14:22,6,6,6,6,6,6,6,6,3,6,6,6,6,6,5,1,2,3,4,1,0
7439,74298,female,2011-04-02 03:27:03,5,6,4,3,5,6,5,4,3,6,6,5,6,3,2,3,1,4,5,1,4
21592,74780,male,2013-04-01 23:50:39,3,4,3,5,3,4,4,4,0,1,0,6,2,2,4,4,4,6,5,2,5
5015,75049,female,2009-11-20 17:15:21,2,6,6,6,6,6,6,2,2,2,4,2,6,3,4,5,6,6,5,6,6
1083,75416,female,2008-09-29 14:14:11,4,6,5,6,6,4,5,3,2,1,2,3,5,1,4,3,4,5,4,6,1
2592,77024,female,2008-12-23 12:15:32,2,4,5,6,3,5,3,3,0,0,6,0,6,0,4,2,3,3,5,5,0
2232,77404,female,2008-11-24 05:13:12,4,4,2,6,3,6,5,0,1,1,2,5,2,0,5,5,2,6,5,3,0
898,77603,female,2008-09-13 01:16:08,1,4,3,3,1,5,2,2,1,0,4,1,3,1,4,3,3,2,3,3,1
3288,77605,male,2009-04-05 04:55:06,3,4,5,3,5,5,3,3,1,0,0,1,0,3,4,4,4,6,4,5,4
3072,77791,female,2009-03-04 14:59:05,2,3,3,3,3,0,3,2,4,3,3,4,4,2,4,3,2,4,4,0,4
687,78932,female,2008-08-26 06:10:38,3,3,2,2,4,5,3,2,3,0,3,3,4,4,6,3,2,4,3,6,5
7044,80449,female,2011-01-18 20:27:23,1,2,2,6,2,2,1,0,0,0,0,0,4,0,2,0,1,1,1,1,2
2611,81212,female,2008-12-26 19:42:22,3,5,4,6,5,6,5,1,2,5,5,6,6,2,6,2,4,4,5,3,2
22904,82279,male,2013-07-20 19:54:48,1,1,2,3,0,0,4,1,0,1,0,1,4,5,5,2,0,3,6,0,4
4461,82619,male,2009-09-20 12:44:28,6,6,4,5,6,5,6,1,1,0,2,1,1,0,4,2,3,3,4,5,1
31087,82984,male,2014-09-24 08:25:33,5,5,4,5,5,5,4,1,0,0,1,0,0,0,6,3,4,5,3,6,5
31031,83661,male,2014-09-19 01:19:55,5,5,6,5,5,6,3,0,0,1,0,6,2,1,1,2,2,1,2,0,4
6367,84622,male,2010-06-13 10:03:19,4,6,6,6,6,6,6,2,0,0,0,1,0,0,6,5,6,2,6,5,6
199,85958,male,2008-08-08 06:37:58,2,6,6,5,3,4,2,6,6,6,5,6,6,6,6,6,6,6,6,6,6
4023,86442,female,2009-07-15 23:48:32,4,5,3,4,3,5,5,2,2,1,2,3,6,4,4,5,1,0,0,3,3
290,86446,female,2008-08-16 00:45:32,5,4,6,5,3,1,0,4,2,4,3,4,5,4,6,6,5,5,5,4,6
633,86589,female,2008-08-25 04:11:30,4,6,4,6,3,3,6,0,0,1,1,1,4,1,5,4,5,3,6,6,4
2826,86750,female,2009-01-28 01:47:43,6,6,0,6,5,6,4,3,0,0,0,6,5,6,5,0,1,4,5,3,6
2152,87232,female,2008-11-19 19:34:54,5,5,6,4,6,5,4,4,0,0,5,4,6,0,2,2,5,1,6,1,2
1833,87378,female,2008-11-05 13:50:13,2,4,3,2,2,5,3,1,0,0,1,3,4,0,4,1,1,3,2,6,0
1230,87584,female,2008-10-10 01:20:45,0,4,6,4,6,6,0,0,0,0,6,6,6,2,6,5,4,4,6,6,1
757,87874,male,2008-08-28 03:29:13,3,4,4,5,4,4,3,3,0,1,3,4,3,3,4,2,3,4,5,4,3
7036,88227,female,2011-01-16 12:17:34,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,1,1,4,3,0,1
28321,89355,female,2014-04-01 10:06:30,5,5,5,3,6,4,5,2,1,1,3,1,6,1,5,5,1,1,5,4,3
1794,91022,male,2008-11-04 02:09:41,2,6,0,5,6,6,3,0,0,0,5,0,0,0,6,5,5,5,6,6,5
4336,91503,male,2009-08-30 16:54:04,3,5,3,5,5,5,2,0,0,0,0,0,0,3,6,4,3,0,6,3,1
14330,92576,female,2012-02-23 23:16:15,0,6,0,4,0,5,4,0,0,0,1,0,4,0,6,1,4,6,5,5,1
2283,92907,male,2008-11-28 02:36:03,5,5,6,5,1,6,2,0,0,0,1,5,0,5,4,3,0,1,4,1,3
3612,92941,female,2009-05-09 07:47:45,3,5,3,5,3,5,4,4,3,1,4,4,5,4,4,4,3,5,5,3,5
6476,93120,female,2010-07-12 01:31:18,3,6,4,6,5,3,4,5,4,5,5,5,4,3,5,6,4,5,6,2,6
18898,93123,female,2012-11-03 16:38:09,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,4,3,5,6,4,0
1408,93770,male,2008-10-18 10:28:23,4,5,5,5,6,5,5,0,0,0,1,0,3,6,6,2,2,1,5,2,3
2207,94907,male,2008-11-22 15:45:32,2,5,4,5,4,5,5,3,0,0,1,3,3,5,6,4,2,4,4,5,5
3560,95309,male,2009-05-04 11:08:15,5,5,5,5,5,5,5,1,0,0,2,0,0,1,4,4,4,4,4,3,5
212,95622,male,2008-08-09 06:41:15,4,3,4,2,5,5,4,1,2,0,4,0,1,4,5,6,4,3,4,4,6
3378,95902,male,2009-04-16 02:08:43,2,5,5,6,6,4,5,4,2,5,5,6,4,5,1,2,1,0,4,4,1
2155,96313,female,2008-11-19 21:18:17,2,2,2,2,4,2,2,3,3,3,6,5,5,6,4,3,3,4,2,5,1
5778,96537,male,2010-03-05 22:58:11,5,5,3,4,5,5,5,0,0,0,3,0,4,3,6,0,1,4,5,1,2
4772,96575,female,2009-10-31 01:40:50,4,6,6,5,6,5,6,1,0,2,6,4,6,0,2,0,2,5,3,5,1
3264,97754,female,2009-03-31 04:16:03,4,6,4,5,6,5,5,4,0,2,5,5,6,4,6,6,6,2,4,4,4
16550,99171,female,2012-07-03 09:26:28,1,2,2,6,0,6,3,1,0,0,0,1,2,4,5,2,5,4,4,4,3
163,100115,female,2008-08-01 16:42:59,2,4,1,2,4,5,2,6,6,6,6,6,6,6,5,4,2,5,5,6,3
1821,101243,female,2008-11-04 23:52:49,0,5,4,5,5,2,2,0,0,1,5,0,3,1,6,4,1,3,5,6,3
4093,102261,female,2009-07-26 18:29:55,4,4,4,4,5,3,4,1,1,0,2,3,4,3,3,2,1,3,3,2,2
59,102317,male,2008-07-21 17:17:34,3,4,5,4,4,2,3,5,4,5,3,6,5,6,4,1,1,4,2,3,1
2999,102431,female,2009-02-22 23:35:07,3,6,5,6,4,4,2,1,0,0,4,4,3,0,6,6,6,4,5,5,5
34793,102699,male,2015-04-03 21:39:49,5,5,3,4,3,4,3,1,0,0,0,0,2,0,6,4,5,1,5,0,4
1055,102987,female,2008-09-27 04:36:38,6,6,3,4,6,6,0,3,3,0,5,2,5,3,6,5,5,3,6,6,6
3574,103176,female,2009-05-04 18:17:40,0,6,2,6,6,2,2,2,3,2,5,6,6,6,6,4,3,6,5,3,6
26596,103518,male,2014-01-22 19:44:36,2,5,5,5,2,1,4,3,0,1,0,1,2,0,4,2,3,6,4,3,1
26469,103812,male,2014-01-19 14:22:52,1,6,5,5,6,3,6,2,3,1,6,3,3,3,6,5,4,4,3,5,4
15649,104323,female,2012-05-01 02:31:00,6,6,6,6,6,6,6,0,0,0,0,6,0,6,6,6,0,6,6,6,6
3001,104682,female,2009-02-23 02:36:06,5,6,2,5,6,6,4,0,0,0,4,3,3,0,6,5,2,6,6,2,0
2827,104846,female,2009-01-28 03:52:05,1,3,0,1,1,2,1,5,6,4,2,5,4,6,3,1,2,4,0,3,4
3870,104850,male,2009-06-08 08:25:56,1,4,4,6,4,4,2,5,1,0,3,0,1,4,5,4,3,4,4,4,4
1944,106167,female,2008-11-12 12:32:24,3,3,3,4,3,3,3,6,6,4,6,6,6,6,6,3,5,4,6,6,5
7053,106225,male,2011-01-22 06:46:00,5,6,5,6,6,5,6,0,0,3,1,3,0,4,4,3,2,2,3,1,2
1516,106641,female,2008-10-22 10:23:53,3,5,6,6,4,6,5,4,5,3,4,5,2,6,4,4,3,4,5,3,6
2772,106777,female,2009-01-19 06:00:46,2,6,2,5,1,2,3,3,1,2,1,1,4,3,6,3,4,4,5,6,5
268,107297,male,2008-08-13 07:23:15,4,3,3,3,5,3,5,4,1,2,4,4,3,4,3,5,1,3,5,4,6
167,107440,male,2008-08-02 17:26:11,0,0,0,0,0,1,0,2,1,1,4,5,1,2,6,2,2,4,4,0,3
1785,107576,female,2008-11-03 15:49:17,3,3,1,5,3,3,3,1,1,1,4,0,3,5,4,3,5,3,5,6,2
1782,108335,female,2008-11-03 15:16:39,4,5,5,6,6,3,4,5,3,4,5,4,5,4,6,0,6,6,6,5,6
5121,109432,male,2009-11-28 19:49:01,0,4,1,2,4,4,3,0,0,0,1,1,0,2,5,1,4,5,4,1,0
4496,109744,female,2009-09-29 02:14:05,1,5,5,5,4,4,5,1,0,2,5,2,5,1,6,2,4,3,3,4,2
22943,109990,male,2013-07-24 21:27:23,3,5,3,5,5,5,4,1,0,0,2,1,3,0,5,1,3,3,4,5,1
34976,110306,male,2015-05-12 23:24:52,,,,,,,,,,,,,,,6,,,,5,,
13514,111385,female,2012-01-10 05:00:12,2,3,3,5,,3,,3,0,0,0,0,3,0,4,,4,3,2,,5
4305,111822,female,2009-08-24 03:06:51,2,4,5,4,6,5,4,1,1,1,6,3,5,1,5,2,5,5,6,6,0
289,113979,female,2008-08-15 19:06:43,0,5,3,4,4,6,2,0,0,2,6,6,5,1,2,1,0,1,1,3,4
19082,114723,female,2012-11-10 00:23:12,0,2,3,5,2,0,2,2,1,1,6,1,4,5,6,2,5,6,4,1,3
1859,119884,female,2008-11-06 20:13:12,4,5,3,5,4,4,2,1,1,0,3,3,6,1,5,5,5,4,5,4,4
3347,119961,male,2009-04-13 05:39:30,1,3,1,4,1,0,0,2,0,1,1,0,0,1,6,6,6,5,4,2,6
3406,121055,male,2009-04-20 18:49:13,0,5,2,5,4,6,5,0,2,1,5,0,2,2,4,3,1,4,4,5,1
9777,121348,male,2011-09-26 14:59:26,2,4,0,5,4,1,4,3,0,0,2,4,4,1,6,2,2,2,5,2,2
4353,121853,female,2009-09-04 01:44:19,4,6,2,6,4,3,5,1,0,0,0,2,6,0,6,6,3,5,1,5,6
2543,122300,male,2008-12-14 20:39:34,2,3,2,2,4,3,2,2,0,0,2,1,5,4,6,5,4,3,3,4,2
737,123075,female,2008-08-27 15:15:46,0,3,2,4,3,3,3,5,4,3,5,3,6,6,6,2,5,4,6,4,4
872,123748,female,2008-09-10 01:49:11,5,6,3,5,6,5,6,5,6,6,5,6,6,6,5,3,3,4,6,5,3
2129,123825,male,2008-11-18 17:59:07,0,2,1,4,1,2,2,0,0,0,4,2,2,2,5,1,3,2,2,2,1
3738,124443,female,2009-05-20 05:54:26,4,6,5,4,5,6,5,2,0,0,1,2,5,4,1,1,3,1,5,1,3
20,124756,male,2008-07-14 22:14:48,6,6,2,6,6,6,6,5,0,0,3,2,3,6,6,4,4,5,5,6,6
13510,126499,male,2012-01-10 03:59:04,4,3,6,6,5,3,6,6,5,1,,4,3,2,4,5,5,1,1,6,6
1221,127556,male,2008-10-09 10:36:58,6,6,6,5,6,4,6,0,6,0,0,4,0,0,4,0,4,4,5,5,6
2343,128189,male,2008-12-01 14:31:04,0,0,0,5,0,0,0,2,2,1,2,1,0,6,,5,4,3,5,4,4
7473,128394,male,2011-04-11 02:41:42,4,4,4,5,5,5,4,1,1,0,4,1,4,2,5,2,4,3,4,4,3
1842,128443,female,2008-11-06 10:24:46,3,6,4,5,4,4,3,5,1,5,5,5,4,4,6,4,3,2,6,5,0
39447,128727,male,2017-08-13 14:53:34,2,4,1,2,2,5,3,0,0,1,0,0,2,1,2,0,2,1,1,1,1
1769,128971,male,2008-11-03 01:04:35,2,4,3,2,1,1,3,3,3,0,4,1,2,3,6,2,4,6,6,2,3
28525,129645,female,2014-04-13 01:46:06,1,4,1,4,3,1,3,2,1,2,2,0,3,0,4,4,3,4,5,2,3
1372,130280,female,2008-10-16 18:42:45,2,3,3,0,2,3,3,1,1,3,5,1,6,3,5,4,1,1,4,2,0
144,130532,female,2008-07-29 04:31:35,3,2,0,3,1,1,1,4,0,1,3,0,1,0,2,6,1,2,6,6,3
1374,130834,female,2008-10-16 23:19:15,3,4,5,5,2,4,3,4,4,5,4,3,5,5,5,1,4,2,4,3,5
16994,131493,male,2012-08-13 07:33:16,6,6,5,6,6,5,6,0,0,0,1,0,2,0,4,1,6,2,4,1,3
6181,131633,male,2010-04-23 18:50:49,0,6,4,6,0,6,6,0,0,0,0,0,0,6,4,4,0,6,6,6,6
2370,133072,female,2008-12-02 05:47:49,5,5,5,4,4,5,5,6,6,6,4,4,4,5,2,1,3,1,3,2,2
35250,133155,female,2015-07-16 21:43:38,6,6,6,6,6,6,6,0,0,0,6,0,6,0,6,3,3,6,3,4,6
4620,134153,male,2009-10-19 01:35:53,1,4,3,5,0,5,2,0,0,0,4,0,1,4,1,0,2,0,6,3,0
7467,135175,female,2011-04-09 08:17:27,5,6,5,6,6,5,6,1,1,1,6,3,6,3,5,2,2,2,3,5,2
798,135781,female,2008-08-30 18:53:51,6,5,2,4,5,4,5,4,6,3,,4,6,6,5,4,4,6,5,4,2
1002,135877,male,2008-09-22 00:42:16,4,3,3,3,3,2,4,6,6,5,3,6,4,6,5,4,4,4,5,4,5
4275,135998,female,2009-08-19 18:47:09,2,4,3,5,5,4,4,4,3,2,2,5,4,4,5,4,4,5,3,2,3
2272,136671,male,2008-11-26 18:33:22,3,4,4,5,3,4,4,1,2,0,1,4,0,3,5,5,5,4,4,1,6
1129,136771,female,2008-10-04 07:23:30,2,5,3,5,3,2,4,6,5,4,1,6,6,1,2,6,4,3,5,4,6
37094,138445,male,2016-01-18 15:48:17,1,5,1,4,0,5,5,3,0,0,4,0,4,0,6,4,1,2,3,6,3
287,139115,female,2008-08-15 06:14:51,4,4,3,6,5,6,5,3,1,2,6,5,6,0,5,4,5,5,5,6,3
13530,139307,female,2012-01-10 21:53:43,6,6,6,6,6,6,6,1,0,3,1,0,0,1,5,4,2,4,2,0,3
16518,139316,male,2012-06-28 21:46:20,3,6,5,5,5,4,2,2,1,2,4,6,4,6,2,1,1,0,2,0,1
1028,139763,female,2008-09-24 05:43:00,6,6,6,4,5,6,2,3,2,4,3,6,6,4,6,3,3,2,4,3,4
7685,139836,female,2011-06-10 18:43:21,6,6,6,6,6,6,6,2,0,4,3,4,5,4,4,3,1,4,2,4,4
4001,140117,male,2009-07-09 23:25:14,0,0,1,0,0,1,1,1,1,0,1,0,0,4,4,0,1,3,1,1,0
191,140286,male,2008-08-06 17:51:07,3,4,3,6,5,2,3,1,2,0,1,0,2,0,3,2,2,1,3,2,4
5682,140827,male,2010-02-13 03:07:04,1,1,1,,1,2,1,2,0,2,4,2,5,3,4,5,4,4,4,4,5
2519,140882,female,2008-12-12 20:13:16,3,6,4,5,3,4,4,4,0,0,4,5,6,4,6,4,3,4,3,1,2
20226,141050,male,2013-01-11 14:17:15,4,3,3,4,5,4,4,3,0,1,5,2,3,5,2,4,2,5,5,6,4
37157,141209,female,2016-01-23 11:05:49,2,3,5,4,2,5,2,2,0,4,6,4,5,4,4,5,3,4,5,6,5
2165,141249,female,2008-11-20 02:33:57,4,6,5,6,6,2,5,2,1,1,5,5,6,0,4,6,3,2,5,6,6
28224,141336,male,2014-03-25 18:51:21,5,6,4,6,5,5,5,3,0,0,4,2,2,4,5,2,4,5,6,3,3
3932,141350,male,2009-06-22 22:38:35,3,2,0,4,3,4,2,2,0,0,1,0,0,0,3,4,2,3,4,4,3
1323,141691,male,2008-10-14 21:52:25,4,5,5,4,5,5,5,3,1,3,3,3,3,4,4,2,3,1,4,1,4
1868,142805,male,2008-11-07 02:24:59,3,5,4,4,6,3,4,1,0,0,0,1,1,2,5,2,3,4,3,3,4
5407,143098,male,2009-12-26 13:59:25,2,2,1,4,4,4,0,5,0,0,0,6,3,0,0,3,5,0,5,0,4
7872,143185,male,2011-08-07 02:33:30,6,5,6,5,2,6,6,0,1,1,1,2,4,2,1,1,0,1,2,5,2
11556,143302,female,2011-11-06 07:25:50,1,3,1,4,2,2,3,0,0,0,1,1,4,0,3,3,1,2,3,4,3
35438,143612,male,2015-08-18 14:12:26,4,2,5,3,6,5,5,3,0,0,1,0,1,1,6,4,5,3,6,2,2
21305,144329,male,2013-03-08 11:39:14,5,6,5,4,4,6,5,1,1,0,4,4,3,0,6,3,4,2,4,2,5
1539,144383,female,2008-10-23 10:35:57,4,6,6,6,6,6,4,1,1,1,3,3,5,6,5,2,1,5,5,6,5
12271,144694,male,2011-11-25 21:57:50,1,3,0,3,1,4,3,2,0,1,3,2,4,5,5,6,4,1,5,5,3
2875,144789,male,2009-02-03 20:35:45,1,1,2,4,1,1,1,1,2,0,0,0,0,0,6,3,2,4,5,3,6
5401,145171,female,2009-12-24 21:06:42,0,0,0,2,0,1,0,0,0,0,1,2,0,1,3,1,1,1,4,0,1
971,146136,female,2008-09-19 22:18:10,5,4,4,4,5,4,4,5,6,5,6,6,6,6,6,4,6,3,3,5,3
3173,146143,female,2009-03-17 02:22:27,1,5,5,5,4,5,4,4,0,0,3,4,6,0,4,2,3,5,4,5,3
3462,146156,male,2009-05-03 02:02:53,1,5,4,6,3,3,4,0,0,0,1,1,1,2,2,0,1,4,1,5,1
3902,147799,female,2009-06-15 07:23:35,3,3,2,3,3,3,3,1,0,0,1,2,4,1,2,1,0,6,1,0,1
16498,149664,female,2012-06-27 00:39:50,0,4,1,5,1,6,3,0,0,1,6,2,6,0,3,3,4,3,6,6,3
17400,149695,female,2012-09-05 16:59:04,2,1,1,4,3,2,3,1,3,1,5,5,5,3,5,5,2,5,6,5,5
27063,149774,male,2014-02-10 11:53:15,3,6,6,6,6,6,3,2,4,3,3,6,3,6,6,2,2,6,6,4,4
3272,150462,male,2009-04-03 15:57:06,5,5,3,4,5,5,3,1,0,0,0,0,1,2,2,0,0,1,4,4,4
2920,150476,female,2009-02-11 03:37:45,0,1,1,5,1,1,4,0,1,0,0,0,4,0,5,3,3,4,5,0,1
